id,date,user,pc,to,cc,bcc,from,size,attachments,content
E400001,08/03/2026 21:47:00,EMP101,PC-1001,team_leads@dta.com,,,norman.empson@dta.com,17695,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400002,08/03/2026 22:34:00,AAF0535,PC-2408,team_leads@dta.com,,,althea.fleming@dta.com,21116,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400003,08/03/2026 19:23:00,AAM0658,PC-9923,team_leads@dta.com,,,anthony.miller@dta.com,60520,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400004,08/03/2026 22:19:00,BBS0039,PC-9436,team_leads@dta.com,,,brandon.starks@dta.com,44087,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400005,08/03/2026 21:59:00,EMP102,PC-3012,team_leads@dta.com,,,alice.smith@dta.com,16207,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400006,08/03/2026 21:06:00,EMP103,PC-4105,team_leads@dta.com,,,bob.jones@dta.com,72142,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400007,08/03/2026 22:05:00,EMP104,PC-1102,team_leads@dta.com,,,carol.davis@dta.com,64350,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400008,08/03/2026 19:30:00,EMP105,PC-5001,team_leads@dta.com,,,david.wilson@dta.com,62432,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400009,08/03/2026 20:06:00,EMP106,PC-1088,team_leads@dta.com,,,elena.rostova@dta.com,50469,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400010,08/03/2026 23:03:00,EMP107,PC-6110,team_leads@dta.com,,,frank.miller@dta.com,25947,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400011,08/03/2026 19:44:00,EMP108,PC-1044,team_leads@dta.com,,,grace.hopper@dta.com,26662,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400012,08/03/2026 22:33:00,EMP109,PC-7020,team_leads@dta.com,,,henry.ford@dta.com,81822,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400013,08/03/2026 21:21:00,EMP110,PC-8005,team_leads@dta.com,,,isabella.cruz@dta.com,38365,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400014,08/03/2026 21:55:00,EMP111,PC-3099,team_leads@dta.com,,,jack.ryan@dta.com,84603,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400015,08/03/2026 22:28:00,EMP112,PC-2490,team_leads@dta.com,,,karen.page@dta.com,16117,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400016,08/03/2026 22:09:00,EMP113,PC-7045,team_leads@dta.com,,,liam.neeson@dta.com,73953,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
